File Name,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#.json,7.400896172586264e-08,2.7537732506529484e-14,1.659449683073563e-07,1.620937336106253e-05,224.22280280330747
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.fastDateFormat#.json,6.533267954727948e-07,6.598587604782702e-13,8.123169088959494e-07,4.8159543375558874e-05,124.3354649655993
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithBufferedImageAndNativeMetadata#.json,0.0016060518786803655,2.2338205996810445e-06,0.0014945971362481077,0.1702318682352941,93.06032738345688
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions#param=longChain::5803.json,0.0022401151756722116,8.39767216036802e-06,0.0028978737309220395,0.1550563287843137,129.3627114531041
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceSame#matches=3&size=100.json,3.2639581338179286e-07,2.687915632166808e-13,5.184511194092273e-07,1.9910143319360246e-05,158.84122839614452
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10.json,2.1475631822700015e-06,7.64386465650792e-13,8.742919796331155e-07,4.134770222105703e-05,40.710885102294306
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=4250000.json,0.7008192998058667,0.0018745085910621799,0.043295595515735544,0.788529152,6.177854338162322
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#.json,0.0008605844927082698,4.379912094301082e-09,6.618090430253339e-05,0.003098290700344432,7.690227381888011
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2.json,0.00013240311940972032,9.198692268274746e-08,0.0003032934596768408,0.034111522163701065,229.06821306702133
jdbi__jdbi#org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals#.json,6.171109511135233e-08,6.399453967181835e-17,7.999658722209238e-09,6.017041885462751e-07,12.963080152401357
