File,Mean,Variance,Standard Deviation,Range
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten#blockSize=1000&nestedLevel=4&numberOfIterations=10&reuseArrays=true.json,4.325820138372996e-05,3.182356751230837e-12,1.7836181877925221e-06,3.04121459411513e-05
apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2.json,6.464745893502023e-05,8.508902014501474e-09,9.222830384356362e-05,0.0017050593848135691
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=10&limit=10000&syncThreshold=0.json,0.07094957129191717,3.880977978220962e-05,0.006228709116976991,0.08447590399999999
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=2&messageSize=1000&messageVersion=2.json,1.2482638419717035e-05,2.716175705732692e-11,5.2108238306607064e-06,5.181813481781824e-05
openzipkin__zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#.json,1.0589721815008486e-07,2.94444318668173e-14,1.7156514036142617e-07,7.068376419117619e-06
apache__camel#org.apache.camel.itest.jmh.SlowTypeConverterTest.typeConvertByteBufToArray#.json,1.2704818899589423e-07,3.674642467589477e-15,6.06087050851275e-08,2.348006142374162e-06
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordWattsStogatz#k=1000&numOfVertices=10000&p=0.05.json,4.439459247625918,0.028915869367565652,0.17001826792602356,0.6794772479999995
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1.json,1.033432625612551e-07,4.3460098262993776e-15,6.591326310547143e-08,1.948091666471183e-06
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.readInfoWithTIF#.json,0.00016408811434219593,6.302612040923704e-10,2.510081066436244e-05,0.0005194835033141848
openzipkin__zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder#.json,0.0017764596155897007,4.948461045095833e-08,0.0002224142138554908,0.0036244815799557845
