filename,Mean,Variance,Standard Deviation,Range,Coefficient of Variation
imglib__imglib2#net,-0.15750294269572812,-0.06061486715970131,0.010258165774415812,0.09353898539818002,-0.2447201055018199
zalando__logbook#org,-0.19968981905919328,-0.06220960906474593,-0.1514846454414718,-0.08469530893290378,-0.2539252353145835
crate__crate#io,-0.19886489864554607,-0.06220957241442105,-0.15076610781653765,-0.08382391241089925,-0.27831752018725026
cantaloupe-project__cantaloupe#edu,-0.19903137439018317,-0.062186102479796515,-0.13189977702197495,-0.06311427193317191,0.04529167068794917
apache__kafka#org,-0.19865511074245437,-0.062209499267380855,-0.150200173131154,-0.08440124523229331,-0.27423963368979404
ReactiveX__RxJava#io,-0.17628653986426354,-0.06220292816392437,-0.14107122908046305,-0.06765881810914286,-0.2837865131905495
apache__kafka#org,-0.1997043789609235,-0.062209609266754486,-0.15152946337844472,-0.0847522950480352,-0.25535126741788555
r2dbc__r2dbc-h2#io,-0.19969275610821494,-0.0622061638062111,-0.14402325739554364,-0.06921011604012027,4.927376223606067
cantaloupe-project__cantaloupe#edu,-0.1995875753588105,-0.06220960852576413,-0.15143279844545887,-0.0846392935731142,-0.2784085550793967
yellowstonegames__SquidLib#squidpony,-0.19830206478615478,-0.06220833620707861,-0.14697247661918134,-0.08359936066542151,-0.2514706753048322
apache__arrow#org,-0.1997080716215948,-0.06220960927742556,-0.15153791710009998,-0.08475138198581096,-0.23520866566115922
apache__kafka#org,-0.199658086116821,-0.062209608448640145,-0.15142724677769223,-0.08460249651232493,-0.2626794397836658
ReactiveX__RxJava#io,-0.19970914042614715,-0.06220960927935939,-0.15154162592178502,-0.08475468982444702,-0.17616986272253066
eclipse__eclipse-collections#org,2.9863238057337056,0.17367733273862174,1.816302301286174,1.2218276919303792,-0.2818192994006586
openzipkin__zipkin#zipkin2,-0.19384960228083872,-0.06220597856542553,-0.1438237319042481,-0.07979815692626516,-0.2737456857723471
protostuff__protostuff#io,-0.19970809984906784,-0.06220960927722339,-0.15153765230272387,-0.08475316481886186,-0.23166122526147886
apache__arrow#org,-0.19969666757033017,-0.06220960927942124,-0.15154184511185623,-0.08475664515137508,-0.2869437248773242
prestodb__presto#com,-0.19967738399972443,-0.0622096092562393,-0.15152441897268237,-0.08473902560845996,-0.2818679974337504
apache__kafka#org,-0.19965504344660973,-0.06220102395357224,-0.13967222232866577,-0.04635343121686222,2.231130966357365
eclipse__rdf4j#org,-0.14678200970058863,-0.061812630963052395,-0.07081634216481367,-0.017756206613421262,-0.27134912810284284
apache__kafka#org,-0.19970028948435573,-0.06220960915957163,-0.1514996400350209,-0.08474603784963128,-0.23263855537532363
openzipkin__zipkin#zipkin2,-0.1997093053961469,-0.06220960927950058,-0.1515421632600541,-0.08475484276797336,-0.026953207256653774
apache__camel#org,-0.19970929421805553,-0.062209609279685454,-0.15154332321642772,-0.08475651999702911,-0.19987939367227414
jgrapht__jgrapht#org,2.8772007963821733,0.6318542666416791,3.2239625106267855,0.419912666045464,-0.2762889697910602
protostuff__protostuff#io,-0.1997093150651563,-0.062209609279533465,-0.15154231205380708,-0.08475456084700506,-0.015836958611290582
cantaloupe-project__cantaloupe#edu,-0.1994824548605992,-0.061960628424313095,-0.08761147396056704,-0.0031189521542432353,2.961026444778857
openzipkin__zipkin#zipkin2,-0.19841328216295379,-0.06220938766081093,-0.14963664761420312,-0.08394185613748714,-0.27196760734463954
apache__hive#org,-0.19970932296726,-0.062209609279716985,-0.15154393927088067,-0.08475735849205096,-0.2692164975207286
openzipkin__zipkin#zipkin2,-0.1997088756509047,-0.06220960927930431,-0.15154144617839863,-0.08475537461661087,-0.23034665302118737
zalando__logbook#org,-0.1997093332695828,-0.062209609279717144,-0.15154395173695298,-0.08475732046210153,-0.2681410428842445
jdbi__jdbi#org,-0.1997089056376095,-0.062209609279301206,-0.15154143641305773,-0.0847548662910349,-0.22647458814956242
JCTools__JCTools#org,-0.1997093455986249,-0.062209609279716,-0.15154388168053665,-0.08475720887983294,-0.24334476579277206
ReactiveX__RxJava#io,-0.19969781746412013,-0.062209602090597164,-0.1512005115506824,-0.0836437791152311,0.05355487274434077
apache__camel#org,-0.18746159276765476,-0.06180958501072258,-0.07050722845444055,-0.019329703853742223,-0.21261706294680355
raphw__byte-buddy#net,-0.19813486033329883,-0.062169194030631536,-0.1257860675890836,-0.05970744792434025,-0.10022462863881387
eclipse__jetty,-0.19970923367531643,-0.062209609279316624,-0.15154148525253158,-0.08475495955705488,-0.09778332350670964
JCTools__JCTools#org,-0.19970934181835612,-0.062209609279717665,-0.15154401349685892,-0.08475744636478673,-0.2795849551219269
netty__netty#io,-0.19970933991248951,-0.062209609279717505,-0.15154398851824247,-0.08475739838868472,-0.274025460737305
jdbi__jdbi#org,-0.19941349428179062,-0.06220958075588159,-0.15085975665797458,-0.08412315017070489,-0.2622659094882914
zalando__logbook#org,-0.1996805627330198,-0.06220957409486273,-0.15078404522795763,-0.08385420463039714,0.015208378900620831
openzipkin__zipkin#zipkin2,-0.19581588670571992,-0.062208126473097945,-0.14661025192803023,-0.08232518805526026,-0.27432618489929905
apache__camel#org,-0.18526673548360922,-0.06216588759691045,-0.12475312874239074,-0.0651388666434594,-0.26754533139435344
