Project,Benchmark,Average Duration,Standard Deviation
apache,jmh,0.00016370833819689848,0.0001559762905630239
apache,RecordBatchIterationBenchmark,8.178693349215346e-05,1.3583809511276581e-05
prometheus,prometheusSimpleGaugeChildDecBenchmark,4.832404919882828e-08,6.842820844683917e-09
apache,jmh,2.5978362325498956e-06,4.872488563751155e-07
crate,measureConsumeNestedLoopJoin,0.23907304734717166,0.010556617400233441
h2oai,writeMap,1.0570882351104105,0.08987654430967497
apache,RecordBatchIterationBenchmark,1.054075874302784e-06,6.131426161082551e-07
cantaloupe-project,processor,0.01540635756251406,0.008295792493430121
protostuff,generated_serialize_10_int_field,7.529384513644428e-08,9.766023314180905e-09
hazelcast,OAHashSetBenchmark,6.13589355551656e-07,3.938357876998996e-07
ReactiveX,flatMapCompletable,3.178081602764799,0.053496688074034286
openzipkin,readLong_localArray,6.235429130257002e-08,5.645196650538031e-09
zalando,replace2xResponse,8.33048050974781e-07,4.1187374198293447e-07
HdrHistogram,skinnyEncodeIntoCompressedByteBuffer,0.00024380024259977926,0.0008359117256423879
yellowstonegames,doPack,0.00018729343819324032,1.0873520777778713e-05
HdrHistogram,skinnyEncodeIntoCompressedByteBuffer,0.00026602471387082244,0.0010002283320377306
protostuff,builtInSerializer,0.00012489423185138714,3.3535123886368296e-05
apache,jmh,5.355133737192137e-08,4.92305402825274e-09
apache,copyFromBenchmark,1.5091642088967385e-05,3.077765046417172e-07
RoaringBitmap,batchIterate,0.0125152992619034,0.00011073728201523726
apache,TraversalConstructionBenchmark,0.0018910269848814508,0.00023971322441472033
prometheus,prometheusSimpleHistogramChildBenchmark,6.81289790811566e-08,7.572733570673819e-09
openzipkin,readLong_8arity,6.288748050231093e-08,5.407745494306624e-09
zalando,HttpLogFormatterBenchmarkRequest,1.0643213104867357e-05,5.439506199445761e-06
r2dbc,simpleR2dbc,1.3224912406584645e-05,0.0002223934344736702
apache,SerializationBenchmark,7.514189731538141e-06,1.1315946907143803e-05
eclipse-vertx,smallBufferJackson,1.852537558636303e-05,4.48875778026457e-06
apache,testEvalLongCached,0.0005990178660052577,0.010943555699215084
crate,merge,0.032699117568001555,0.0008648443803926764
prestodb,BenchmarkPartitionedOutputOperator,3.275664881527467,0.12797862872523083
yellowstonegames,insertStringSquidMildOM2,0.005215129081618168,0.00046760649959792273
eclipse-vertx,smallBufferDatabind,1.9019529851989028e-05,3.4435816399109635e-06
apache,testComputeCombinedBufferSize,4.389250721210362e-06,7.073575595838192e-08
apache,operators,1.6064546910856912e-06,4.810743974042564e-08
jgrapht,testDijkstraComplete,0.07767705954986533,0.008294733616998846
cantaloupe-project,processor,0.000248722903370585,0.006088093122635734
apache,TypeConverterTest,7.20834585704118e-05,2.0358817642242504e-05
h2oai,measureGbmScore0,0.6193988064597534,0.02133232158655391
prestodb,benchmarkWithFlatten,3.976448156580532e-05,1.4175795279111573e-06
apache,RecordBatchIterationBenchmark,0.00015234924824381147,1.25540282657986e-05
apache,operators,1.623490954719549e-05,3.5493219970745806e-07
eclipse,DateCacheNoTickBenchmark,1.1117280043730708e-06,1.4450563141998139e-06
protostuff,runtime_serialize_1_int_field,7.570097054459314e-08,9.915568149920059e-08
eclipse,AggregateByTest,0.09627686229333314,0.013675772278469611
ReactiveX,flowFlatMapMaybeAsFlow0,0.019395157651913745,0.001658016726775147
apache,message,2.9528346473249387e-07,2.707488343998506e-07
prometheus,prometheusSummaryChildBenchmark,1.0357810933960532e-05,1.2084306559159571e-05
eclipse,selectAll,0.27172595739306465,0.017105500697992652
prestodb,StringFunctionsBenchmark,6.165465822906867e-05,0.003372000883891481
h2oai,writeMap,0.011651306340946917,0.004463342738011893
cantaloupe-project,processor,0.06890453292373422,0.00037227320817134394
HdrHistogram,encodeIntoCompressedByteBuffer,0.00015071332230029083,2.7657782789066182e-05
zalando,contentType2,7.46822922513265e-08,1.1467829423038365e-08
r2dbc,simpleR2dbc,7.102443034388521e-06,0.00018717336214704695
eclipse,MinTest,0.014928652465926734,0.0022450394646192995
netty,httpIterate,2.3984102799371637e-07,1.3572146721788883e-08
hazelcast,SparseBitSetIterateBenchmark,6.527291796801124e-08,1.2792975269936749e-08
apache,ParallelSearcherBenchmarks,0.009115241071090002,0.00040175914412202027
eclipse,selectDistinct,5.8276168684886045,0.05497933394481674
eclipse,map,1.017124207547726,0.06285986877082321
raphw,benchmarkByteBuddyWithProxyAndReusedDelegator,0.004538069472856242,0.0038643952709188274
zalando,HttpLogFormatterBenchmarkResponse,1.4044062904562464e-05,6.40392109719214e-06
